tile,cycles
0,69524
1,46669
2,19715
3,68660
4,36718
5,56319
6,385753
7,103544
8,37259
9,76358
10,54929
11,26973
12,148690
13,75439
14,28337
15,110862
16,258101
17,57268
18,155995
19,31783
20,28483
21,71509
22,23136
23,73232
24,40402
25,147560
26,66933
27,20768
28,103382
29,80467
30,110145
31,153194
32,56042
33,143006
34,179368
35,29778
36,148577
37,68489
38,129102
39,59915
40,328433
41,31630
42,88877
43,62204
44,200454
45,65716
46,73043
47,40116
48,69004
49,100960
50,49091
51,61338
52,225890
53,59221
54,34006
55,471436
56,53809
57,95347
58,100839
59,114954
60,40103
61,107682
62,100690
63,57306
64,41287
65,75650
66,157555
67,88745
68,126693
69,46718
70,41513
71,62629
72,69171
73,36217
74,90686
75,382929
76,54700
77,91445
78,98594
79,79776
80,61732
81,105058
82,163905
83,57041
84,71101
85,115707
86,64120
87,174249
88,128571
89,36860
90,113110
91,127913
92,337598
93,93937
94,51685
95,172800
96,42886
97,204209
98,27159
99,329733
100,73704
101,625797
102,72350
103,85913
104,39408
105,86299
106,32280
107,85463
108,143252
109,71985
110,170659
111,181436
112,82365
113,97499
114,135249
115,84033
116,167026
117,497680
118,64557
119,52360
120,60457
121,55179
122,98418
123,45308
124,246339
125,45402
126,395691
127,64380
128,133074
129,84207
130,40637
131,64579
132,42835
133,50424
134,101002
135,56848
136,177176
137,320178
138,123363
139,69960
140,93143
141,256626
142,62669
143,83888
144,118517
145,137838
146,82101
147,141068
148,84707
149,56197
150,87075
151,124644
152,50528
153,141034
154,138737
155,117663
156,78388
157,52007
158,116951
159,28553
160,174673
161,97339
162,47281
163,60502
164,173306
165,341927
166,42644
167,70832
168,29794
169,79004
170,169949
171,38513
172,55276
173,59953
174,133941
175,54836
176,51465
177,158943
178,147556
179,27910
180,62893
181,32194
182,57959
183,168600
184,76401
185,59336
186,74037
187,182379
188,42741
189,31172
190,22302
191,368625
192,19519
193,59653
194,36184
195,166731
196,75325
197,78448
198,96667
199,164580
200,26764
201,83076
202,91852
203,111362
204,82640
205,94493
206,80944
207,27839
208,113470
209,81464
210,60803
211,42910
212,65717
213,62622
214,309887
215,142512
216,150948
217,56443
218,101413
219,95042
220,47476
221,104428
222,44348
223,35695
224,130283
225,138784
226,87419
227,259769
228,95139
229,79813
230,73367
231,68681
232,121153
233,83541
234,93628
235,75931
236,130025
237,120676
238,130868
239,88075
240,74323
241,129636
242,60308
243,71980
244,124469
245,252743
246,57005
247,62730
248,106670
249,230922
250,105830
251,231208
252,628516
253,94557
254,374375
255,68944
256,174532
257,81063
258,28264
259,40465
260,65975
261,40937
262,159700
263,65525
264,119097
265,78481
266,90918
267,39390
268,129599
269,55194
270,25592
271,81703
272,70615
273,76486
274,59485
275,44026
276,86512
277,58685
278,23832
279,42084
280,165281
281,100638
282,186275
283,61193
284,73985
285,46004
286,243952
287,99904
288,168283
289,115791
290,115099
291,82220
292,51873
293,94977
294,41969
295,32435
296,153663
297,330549
298,111134
299,104508
300,78902
301,122417
302,75100
303,35856
304,109139
305,159846
306,136055
307,57720
308,57321
309,547515
310,28839
311,37760
312,51722
313,259423
314,222284
315,42503
316,48204
317,54845
318,152929
319,164668
320,55711
321,158185
322,41165
323,125779
324,70875
325,126640
326,166340
327,95205
328,291574
329,55941
330,46177
331,64964
332,156353
333,208629
334,267614
335,116293
336,110962
337,196577
338,178202
339,97914
340,60638
341,61346
342,143141
343,147730
344,71185
345,252415
346,47550
347,131400
348,43024
349,232568
350,34483
351,100261
352,197009
353,84043
354,81077
355,50810
356,46628
357,49999
358,393234
359,47970
360,77513
361,167324
362,128355
363,85616
364,112922
365,34746
366,47799
367,32634
368,57383
369,77289
370,33449
371,91976
372,72325
373,25423
374,186845
375,38731
376,73032
377,153799
378,94012
379,58163
380,250881
381,30200
382,206291
383,150227
384,131476
385,94582
386,28620
387,63018
388,117039
389,197179
390,133730
391,26975
392,153728
393,79844
394,158239
395,89872
396,45047
397,265132
398,18897
399,39118
400,45295
401,36564
402,329573
403,92507
404,112581
405,100905
406,82418
407,250135
408,138784
409,472907
410,74049
411,27057
412,63391
413,34916
414,244585
415,17230
416,117777
417,256104
418,16314
419,61284
420,72864
421,36275
422,45012
423,450807
424,38755
425,37256
426,64250
427,90968
428,232045
429,27842
430,99065
431,22693
432,21578
433,138846
434,67290
435,47651
436,37022
437,47569
438,62290
439,127357
440,27784
441,149825
442,46039
443,17958
444,569174
445,145692
446,130687
447,37932
448,39050
449,22760
450,103644
451,29155
452,20201
453,99530
454,86124
455,266070
456,323317
457,77795
458,172233
459,78488
460,49552
461,241400
462,40304
463,48419
464,96969
465,62549
466,50384
467,31509
468,151556
469,30948
470,104102
471,38017
472,65651
473,256634
474,47832
475,48393
476,28178
477,46445
478,27481
479,37485
480,362623
481,47340
482,273421
483,93878
484,50578
485,74884
486,20967
487,240532
488,84757
489,35750
490,83685
491,621169
492,42733
493,42040
494,224075
495,43400
496,85990
497,76473
498,76796
499,156025
500,32243
501,223642
502,172124
503,51624
504,23169
505,477945
506,88234
507,67412
508,76728
509,22362
510,75088
511,214408
512,51268
513,164818
514,231007
515,51553
516,47486
517,102254
518,29919
519,103620
520,403771
521,103540
522,112203
523,85615
524,609154
525,38111
526,65567
527,48554
528,34005
529,81365
530,24802
531,62783
532,52932
533,25380
534,51853
535,52492
536,62836
537,236783
538,42433
539,106504
540,43171
541,256075
542,152464
543,159464
544,36183
545,36881
546,72395
547,53723
548,82784
549,300041
550,53653
551,62606
552,35754
553,35767
554,89874
555,53303
556,59405
557,70048
558,23556
559,77017
560,42776
561,144057
562,34394
563,33161
564,33606
565,87943
566,199016
567,66583
568,63389
569,61818
570,62260
571,117822
572,348533
573,71430
574,101378
575,34297
576,52196
577,206023
578,143765
579,261550
580,34577
581,34398
582,88768
583,24652
584,117557
585,32255
586,104352
587,53051
588,331035
589,79033
590,24357
591,48882
592,41479
593,41007
594,121164
595,92713
596,48210
597,149353
598,120367
599,76756
600,520648
601,65930
602,85436
603,604815
604,92147
605,329842
606,25234
607,26029
608,152473
609,77605
610,599082
611,103932
612,23379
613,23372
614,41650
615,78403
616,61180
617,172660
618,53050
619,171593
620,34235
621,24653
622,121455
623,63167
624,61479
625,51871
626,34392
627,42581
628,33272
629,42108
630,33689
631,24920
632,88116
633,127824
634,99964
635,23840
636,219117
637,24158
638,29983
639,21420
640,40059
641,32669
642,200625
643,155805
644,56955
645,276010
646,23372
647,30517
648,22273
649,67361
650,259337
651,73675
652,56038
653,29059
654,93240
655,408422
656,67344
657,84123
658,28148
659,56262
660,54291
661,38858
662,102170
663,29747
664,21534
665,120502
666,152906
667,54003
668,79426
669,69902
670,33787
671,210077
672,86381
673,24081
674,209572
675,50917
676,48979
677,69817
678,40607
679,230363
680,23909
681,87204
682,42261
683,156049
684,49030
685,117423
686,39602
687,39563
688,31555
689,198255
690,38021
691,92684
692,45819
693,46662
694,72239
695,113354
696,124721
697,93849
698,122253
699,55179
700,46045
701,73994
702,17962
703,44721
704,57529
705,100572
706,204091
707,74509
708,53954
709,287788
710,75644
711,85982
712,18789
713,61828
714,77895
715,95344
716,114978
717,31825
718,51044
719,42657
720,28294
721,158185
722,35907
723,44855
724,208163
725,85157
726,49320
727,68256
728,126196
729,58324
730,268528
731,47434
732,54793
733,37149
734,255088
735,302488
736,37424
737,57196
738,149080
739,387902
740,74946
741,91879
742,100336
743,618095
744,109931
745,188773
746,157191
747,61678
748,23770
749,122283
750,78941
751,32057
752,291354
753,173595
754,100395
755,312186
756,105526
757,114390
758,87987
759,68463
760,79254
761,50516
762,60097
763,144580
764,49630
765,287571
766,68034
767,50837
768,165054
769,184476
770,64749
771,27462
772,83959
773,27800
774,72081
775,208073
776,28186
777,242150
778,36357
779,311643
780,55825
781,83336
782,38449
783,66918
784,102994
785,75628
786,28160
787,46143
788,245047
789,180216
790,112554
791,28011
792,47480
793,82806
794,28159
795,65246
796,75239
797,28266
798,154640
799,45729
800,232241
801,93102
802,233718
803,215384
804,163929
805,108777
806,119700
807,82796
808,35270
809,451514
810,126014
811,36432
812,98206
813,34268
814,69840
815,540054
816,135255
817,25662
818,42985
819,33584
820,229843
821,32558
822,265443
823,287922
824,52393
825,502105
826,134324
827,21651
828,50141
829,607787
830,203086
831,226908
832,41221
833,31823
834,48347
835,48436
836,122686
837,20048
838,45989
839,590674
840,96889
841,38012
842,30894
843,153162
844,49139
845,68964
846,58589
847,104004
848,29556
849,152657
850,149488
851,28916
852,22713
853,107493
854,310553
855,61262
856,43301
857,209443
858,158402
859,121253
860,44599
861,458514
862,167078
863,36393
864,88524
865,71202
866,277524
867,52964
868,42623
869,25264
870,44826
871,193249
872,273066
873,118581
874,36476
875,105481
876,428520
877,42929
878,111909
879,26285
880,101220
881,23708
882,52906
883,31994
884,50446
885,181830
886,123704
887,24896
888,24412
889,108962
890,32707
891,61809
892,32715
893,39782
894,174978
895,40380
896,131396
897,67231
898,57156
899,173805
900,22668
901,115017
902,238474
903,56411
904,141042
905,57165
906,67889
907,87779
908,76494
909,76053
910,41665
911,23246
912,49715
913,41389
914,455019
915,21781
916,170070
917,54327
918,604648
919,169540
920,265115
921,407465
922,57849
923,27225
924,36442
925,67399
926,45536
927,185894
928,34252
929,213725
930,34343
931,60834
932,94853
933,194857
934,399313
935,88312
936,92206
937,139826
938,70935
939,599718
940,32894
941,53150
942,99708
943,189701
944,616991
945,39567
946,87098
947,609665
948,39346
949,50274
950,124772
951,78037
952,30656
953,49105
954,20780
955,237724
956,47712
957,57010
958,19969
959,287836
960,30083
961,77130
962,99357
963,30524
964,77040
965,96124
966,67876
967,150626
968,76922
969,37907
970,103455
971,31277
972,32803
973,22547
974,191784
975,39851
976,115480
977,34408
978,220055
979,35250
980,260687
981,91140
982,61992
983,139668
984,78956
985,178588
986,23774
987,99735
988,68532
989,77855
990,42820
991,51613
992,199367
993,74691
994,62419
995,98601
996,436560
997,52908
998,600904
999,53168
1000,613460
1001,43148
1002,62121
1003,136687
1004,52204
1005,200114
1006,251881
1007,47689
1008,125881
1009,69651
1010,59124
1011,30679
1012,279746
1013,222776
1014,133347
1015,39637
1016,58452
1017,132271
1018,127907
1019,144788
1020,118550
1021,237525
1022,57277
1023,47943
1024,27073
1025,17494
1026,75309
1027,240555
1028,412840
1029,179903
1030,139899
1031,372782
1032,126601
1033,52737
1034,368036
1035,231710
1036,52769
1037,198686
1038,394206
1039,82289
1040,63047
1041,61997
1042,142061
1043,83568
1044,34444
1045,106227
1046,135286
1047,33152
1048,104068
1049,239322
1050,21591
1051,94715
1052,132622
1053,86927
1054,29485
1055,20827
1056,48924
1057,163888
1058,206850
1059,29228
1060,107433
1061,37810
1062,335270
1063,28761
1064,132257
1065,18104
1066,585760
1067,26369
1068,55198
1069,46257
1070,212718
1071,17763
1072,35460
1073,56348
1074,44067
1075,146135
1076,24994
1077,42538
1078,42121
1079,52497
1080,27392
1081,25725
1082,101283
1083,44157
1084,69971
1085,42735
1086,42605
1087,136338
1088,163960
1089,187655
1090,39597
1091,86184
1092,75367
1093,78798
